번호,도서명,분야,저자,역자,출판사,출간일,ISBN,페이지,정가,추천경로
126,"나만의 북극성을 찾아라 2 (진로활동 입학사정관제 포트폴리오, 진로설계편)",어린이,홍기운|김승,,미디어숲,2012-01-27,,0,18000,교육청 > 경남교육청 > 진로와 관련된 책
127,"나만의 북극성을 찾아라 1 (진로활동 입학사정관제 포트폴리오, 진로탐색편)",어린이,홍기운|김승,,미디어숲,2012-01-27,,0,18000,교육청 > 경남교육청 > 진로와 관련된 책
128,내 마음 배송 완료,청소년,송방순,,논장,2018-07-20,9788984143272,124,10000,교육청 > 경남교육청 > 교육CEO에게 권하는 10월의 책
129,꽃을 선물할게,인문,강경수,,창비,2018-04-20,9788936455255,52,52,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
130,덤벼라 인생 (고박과 남쌤이 청소년들에게 들려주는 인생론),어린이,남경태|고성국,,철수와영희,2012-02-10,,0,13000,교육청 > 경남교육청 > 진로와 관련된 책
131,Lets go 창의적 체험활동 1 (나의 진로 포트폴리오 만들기),어린이,조경희|김연미|김태옥|박선유|윤석진,,씨마스,2011-12-09,,0,7500,교육청 > 경남교육청 > 진로와 관련된 책
132,"아리스토텔레스, 이게 행복이다!",역사/문화,이성주,,생각비행,2018-04-03,9791187708797,160,160,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
133,디자인은 어디에나 있어!,청소년,이남석|이규리|이규린,,창비,2018-03-09,9788936447236,120,120,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
134,비전있는 진로 가이드,어린이,해바라기,,지경사,2003-09-25,,0,8000,교육청 > 경남교육청 > 진로와 관련된 책
135,골드 피쉬 보이 (블랙홀 청소년 문고 006),소설,리사 톰슨,양윤선,블랙홀,2018-03-30,9791188974108,403,403,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
136,처음엔 사소했던 일,소설,왕수펀,조윤진,뜨인돌출판사,2018-04-12,9788958076827,160,160,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
137,열다섯 살 하영이의 스웨덴 학교 이야기 (창의·다양·여유를 배운다),어린이,이하영,,양철북,2008-10-27,,0,9800,교육청 > 경남교육청 > 진로와 관련된 책
138,나를 지키는 힘 (20인의 철학자가 전하는 삶의 중심 찾기),자기계발,임병희,,생각정원,2018-01-25,9791188388202,248,248,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
139,왜 언론이 문제일까?,사회,박영흠,,반니,2018-02-15,9791187980438,176,176,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
140,지금 고민한 만큼 너는 단단해질 것이다 (존 맥스웰의 10가지 청소년 리더십),어린이,존 맥스웰,,애플북스,2011-12-23,,0,12000,교육청 > 경남교육청 > 진로와 관련된 책
141,"사양합니다, 동네 바보 형이라는 말",사회,류승연,,푸른숲,2018-03-30,9791156757382,306,306,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
142,"꿈의 로켓을 쏘다 (로켓박사 채연석의 삶, 로켓, 열정)",어린이,채연석,,북하우스,2008-10-24,,0,10000,교육청 > 경남교육청 > 진로와 관련된 책
143,일본신문장학생 (50만원으로 일본유학가자),총류,김용기,,이비락,2011-03-21,,0,15000,교육청 > 경남교육청 > 진로와 관련된 책
144,행복바이러스 안철수,총류,안철수,,리젬,2009-09-05,,0,10800,교육청 > 경남교육청 > 진로와 관련된 책
145,희망을 나누어 주는 은행가 유누스,아동,박선민,,리젬,2010-01-25,,0,9800,교육청 > 경남교육청 > 진로와 관련된 책
146,하지만...,청소년,안느 방탈,이정주,이마주,2018-04-20,9791189044015,76,76,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
147,안녕 사랑 안녕 행복도,청소년,패니 브리트,박선주,책과콩나무,2018-03-15,9791186490860,160,160,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
148,호랑이의 눈 (Tiger Eyes),소설,주디 블룸,안신헤,창비,2018-05-18,9788936456849,296,296,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
149,청소년 진로 코칭 (10대의 꿈에 날개를 달아 주는),어린이,허은영,,우리교육,2012-03-30,,0,15000,교육청 > 경남교육청 > 진로와 관련된 책
150,내 휴대폰 속의 슈퍼스파이,과학/공학,타니아 로이드 치,임경희,푸른숲주니어,2018-05-15,9791156751632,140,140,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
151,우리와 다른 아이,청소년,엘리사 마촐리,유지연,한울림스페셜,2018-01-05,9788993143614,38,13000,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
152,달의 뒤편으로 간 사람,총류,베아 우스마 쉬페르트,,비룡소,2009-07-15,,0,9000,교육청 > 경남교육청 > 진로와 관련된 책
153,책 읽는 왕자 (책 속에 분명히 해답이 있을 거야),아동,재키 프렌치,,예꿈,2011-02-15,,0,10500,교육청 > 경남교육청 > 창의성을 기르는 책
154,"드라이빙 미스 노마 (숨이 붙어 있는 한 재밌게 살고 싶어!,Driving Miss Norma)",시/에세이,팀|라미,고상욱,흐름출판,2018-05-18,9788965962618,352,352,교육청 > 경남교육청 >  교육CEO에게 권하는 책-2018
155,도깨비폰을 개통하시겠습니까?,청소년,박하익,,창비,2018-03-23,9788936442927,192,10800,교육청 > 경남교육청 > 교육 CEO에게 권하는 책 7~9월
